AITFC,9046067,-6.172827,107.331359,24120,1344,1,113.2,411.3,BTK6050,B738,PK-LDP,CGK,DPS,1702348093
AITFC,9045280,-6.560141,107.777157,22413,1088,1,100.0,418.4,BTK7513,A320,PK-LAY,HLP,SUB,1702348094
AITFC,9045160,-6.650499,108.427245,26845,0,1,109.8,448.5,CTV762,A320,PK-GQE,CGK,SOC,1702348095
AITFC,9044448,-5.971162,106.781001,13795,2176,1,81.9,347.5,GIA608,B738,PK-GMF,CGK,PLW,1702348096
AITFC,9045559,-6.508621,107.152405,14363,1984,1,108.8,371.9,BTK7309,A320,PK-LUS,HLP,DPS,1702348097
AITFC,9044737,-6.799885,108.861631,27845,0,1,313.4,440.7,CTV775,A320,PK-GLI,YIA,CGK,1702348098
AITFC,9046067,-6.177521,107.342245,24245,1344,1,113.3,412.6,BTK6050,B738,PK-LDP,CGK,DPS,1702348099
AITFC,9045280,-6.56218,107.788588,22513,1024,1,100.0,420.4,BTK7513,A320,PK-LAY,HLP,SUB,1702348100
AITFC,9045160,-6.655151,108.440179,26870,64,1,109.8,448.5,CTV762,A320,PK-GQE,CGK,SOC,1702348101
AITFC,9044448,-5.969833,106.790368,13995,2176,1,82.2,352.3,GIA608,B738,PK-GMF,CGK,PLW,1702348102
AITFC,9045559,-6.511917,107.162088,14563,2048,1,109.0,372.2,BTK7309,A320,PK-LUS,HLP,DPS,1702348103
AITFC,9044737,-6.790296,108.851497,27870,0,1,313.3,441.4,CTV775,A320,PK-GLI,YIA,CGK,1702348104
AITFC,9046067,-6.181732,107.35216,24370,1472,1,113.3,414.8,BTK6050,B738,PK-LDP,CGK,DPS,1702348105
AITFC,9045280,-6.564331,107.800738,22613,960,1,100.0,421.4,BTK7513,A320,PK-LAY,HLP,SUB,1702348106
AITFC,9045160,-6.659111,108.451159,26870,64,1,109.8,448.5,CTV762,A320,PK-GQE,CGK,SOC,1702348107
AITFC,9044448,-5.968462,106.800463,14195,2240,1,82.2,354.3,GIA608,B738,PK-GMF,CGK,PLW,1702348108
AITFC,9045559,-6.515579,107.172562,14763,1856,1,109.4,374.1,BTK7309,A320,PK-LUS,HLP,DPS,1702348109
AITFC,9044737,-6.783096,108.84388,27845,0,1,313.3,441.4,CTV775,A320,PK-GLI,YIA,CGK,1702348110
AITFC,9046067,-6.186467,107.363134,24495,1344,1,113.4,416.1,BTK6050,B738,PK-LDP,CGK,DPS,1702348111
AITFC,9045280,-6.566391,107.812329,22713,1088,1,100.1,422.5,BTK7513,A320,PK-LAY,HLP,SUB,1702348112
AITFC,9045160,-6.663895,108.46448,26870,64,1,109.8,448.5,CTV762,A320,PK-GQE,CGK,SOC,1702348113
AITFC,9044448,-5.967178,106.810572,14445,2624,1,83.5,354.3,GIA608,B738,PK-GMF,CGK,PLW,1702348114
AITFC,9045559,-6.518896,107.18167,14938,1536,1,109.9,375.5,BTK7309,A320,PK-LUS,HLP,DPS,1702348115
AITFC,9044737,-6.773254,108.833453,27870,0,1,313.3,441.4,CTV775,A320,PK-GLI,YIA,CGK,1702348116
AITFC,9046067,-6.191401,107.374499,24620,1472,1,113.3,417.9,BTK6050,B738,PK-LDP,CGK,DPS,1702348117
AITFC,9045280,-6.568428,107.824039,22838,1152,1,100.1,423.5,BTK7513,A320,PK-LAY,HLP,SUB,1702348118
AITFC,9045160,-6.667877,108.475466,26870,64,1,109.8,448.5,CTV762,A320,PK-GQE,CGK,SOC,1702348119
AITFC,9044448,-5.966647,106.820779,14670,2240,1,89.0,356.1,GIA608,B738,PK-GMF,CGK,PLW,1702348120
AITFC,9045559,-6.522481,107.191378,15063,1536,1,110.3,378.4,BTK7309,A320,PK-LUS,HLP,DPS,1702348121
AITFC,9044737,-6.770604,108.830614,27870,0,1,313.3,441.4,CTV775,A320,PK-GLI,YIA,CGK,1702348122
AITFC,9046067,-6.196152,107.385585,24770,1536,1,113.2,418.9,BTK6050,B738,PK-LDP,CGK,DPS,1702348123
AITFC,9045280,-6.570616,107.836304,22963,1152,1,100.0,424.5,BTK7513,A320,PK-LAY,HLP,SUB,1702348124
AITFC,9045160,-6.672363,108.488035,26870,0,1,109.8,448.5,CTV762,A320,PK-GQE,CGK,SOC,1702348125
AITFC,9044448,-5.967066,106.830723,14895,2304,1,94.2,356.9,GIA608,B738,PK-GMF,CGK,PLW,1702348126
AITFC,9045559,-6.526251,107.201606,15263,1984,1,110.3,379.7,BTK7309,A320,PK-LUS,HLP,DPS,1702348127
AITFC,9044737,-6.770604,108.830614,27870,0,1,313.3,441.4,CTV775,A320,PK-GLI,YIA,CGK,1702348128
AITFC,9046067,-6.200618,107.395998,24920,1408,1,113.2,421.1,BTK6050,B738,PK-LDP,CGK,DPS,1702348129
AITFC,9045280,-6.572708,107.848035,23063,1024,1,100.0,425.5,BTK7513,A320,PK-LAY,HLP,SUB,1702348130
AITFC,9045160,-6.676336,108.498988,26870,0,1,109.8,448.5,CTV762,A320,PK-GQE,CGK,SOC,1702348131
AITFC,9044448,-5.968323,106.840924,15095,2304,1,99.0,357.4,GIA608,B738,PK-GMF,CGK,PLW,1702348132
AITFC,9045559,-6.529861,107.21148,15463,2176,1,110.2,380.3,BTK7309,A320,PK-LUS,HLP,DPS,1702348133
AITFC,9044737,-6.770604,108.830614,27870,0,1,313.3,441.4,CTV775,A320,PK-GLI,YIA,CGK,1702348134
AITFC,9046067,-6.205227,107.406795,25045,1344,1,113.3,422.4,BTK6050,B738,PK-LDP,CGK,DPS,1702348135
AITFC,9045280,-6.574712,107.85965,23163,832,1,100.0,426.5,BTK7513,A320,PK-LAY,HLP,SUB,1702348136
AITFC,9045160,-6.681107,108.512335,26870,0,1,109.8,448.5,CTV762,A320,PK-GQE,CGK,SOC,1702348137
